Column1,Column2
0,16
25,2
50,21
75,23
100,21
125,17
150,22
175,15
200,21
225,15
250,13
275,13
300,12
325,13
350,18
375,9
400,17
425,16
450,17
475,18
500,18
525,19
550,16
575,17
600,16
625,11
650,11
675,12
700,13
725,14
750,11
775,11
800,15
825,15
850,18
875,16
900,2
925,18
950,19
975,17
1000,11
1025,14
1050,8
1075,12
1100,13
1125,12
1150,14
1175,11
1200,15
1225,15
1250,14
1275,2
1300,13
1325,19
1350,18
1375,13
1400,14
1425,9
1450,12
1475,11
1500,11
1525,14
1550,14
1575,12
1600,12
1625,13
1650,16
1675,18
1700,21
1725,15
1750,14
1775,15
1800,11
1825,12
1850,11
1875,11
1900,12
1925,9
1950,11
1975,1
2000,14
2025,17
2050,16
2075,15
2100,17
2125,14
2150,17
2175,8
2200,8
2225,13
2250,7
2275,13
2300,9
2325,1
2350,1
2375,1
2400,8
2425,1
2450,16
2475,15
2500,17
2525,16
2550,11
2575,13
2600,13
2625,9
2650,12
2675,1
2700,9
2725,7
2750,6
2775,13
2800,7
2825,13
2850,16
2875,13
2900,16
2925,14
2950,16
2975,13
3000,8
3025,1
3050,7
3075,8
3100,1
3125,7
3150,1
3175,7
3200,9
3225,8
3250,11
3275,15
3300,15
3325,14
3350,1
3375,9
3400,8
3425,7
3450,7
3475,7
3500,3
3525,9
3550,6
3575,6
3600,9
3625,7
3650,12
3675,11
3700,14
3725,18
3750,12
3775,14
3800,6
3825,9
3850,4
3875,3
3900,14
3925,6
3950,3
3975,4
4000,7
4025,1
4050,1
4075,14
4100,11
4125,11
4150,15
4175,13
4200,1
4225,8
4250,5
4275,13
4300,2
4325,2
4350,1
4375,5
4400,5
4425,8
4450,12
4475,12
4500,13
4525,12
4550,1
4575,11
4600,6
4625,8
4650,8
4675,8
4700,7
4725,3
4750,5
4775,8
4800,3
4825,9
4850,12
4875,12
4900,12
4925,12
4950,9
4975,9
5000,7
5025,8
5050,8
5075,6
5100,5
5125,4
5150,2
5175,3
5200,6
5225,5
5250,1
5275,11
5300,1
5325,12
5350,1
5375,7
5400,11
5425,8
5450,2
5475,5
5500,5
5525,3
5550,2
5575,6
5600,8
5625,4
5650,13
5675,9
5700,9
5725,13
5750,6
5775,11
5800,1
5825,6
5850,4
5875,5
5900,5
5925,1
5950,7
5975,6
6000,4
6025,5
6050,8
6075,1
6100,12
6125,7
6150,11
6175,7
6200,6
6225,6
6250,3
6275,4
6300,1
6325,4
6350,4
6375,5
6400,7
6425,5
6450,7
6475,11
6500,8
6525,15
6550,8
6575,8
6600,4
6625,7
6650,3
6675,4
6700,3
6725,1
6750,4
6775,5
6800,5
6825,4
6850,6
6875,8
6900,12
6925,8
6950,1
6975,8
7000,4
7025,7
7050,4
7075,1
7100,6
7125,1
7150,3
7175,4
7200,6
7225,5
7250,6
7275,12
7300,8
7325,1
7350,11
7375,7
7400,9
7425,7
7450,2
7475,1
7500,7
7525,0
7550,-1
7575,0
7600,2
7625,4
7650,4
7675,4
7700,9
7725,11
7750,8
7775,7
7800,5
7825,8
7850,2
7875,1
7900,6
7925,0
7950,-2
7975,3
8000,5
8025,8
8050,3
8075,5
8100,8
8125,6
8150,11
8175,6
8200,3
8225,7
8250,2
8275,1
8300,4
8325,3
8350,0
8375,3
8400,2
8425,2
8450,5
8475,9
8500,7
8525,1
8550,5
8575,8
8600,2
8625,1
8650,6
8675,4
8700,3
8725,2
8750,0
8775,7
8800,5
8825,1
8850,7
8875,7
8900,12
8925,9
8950,8
8975,4
9000,3
9025,5
9050,-1
9075,3
9100,1
9125,1
9150,4
9175,2
9200,5
9225,6
9250,2
9275,3
9300,8
9325,7
9350,9
9375,5
9400,5
9425,1
9450,6
9475,3
9500,1
9525,2
9550,-1
9575,3
9600,3
9625,0
9650,6
9675,5
9700,6
9725,1
9750,1
9775,7
9800,4
9825,3
9850,2
9875,-2
9900,7
9925,-1
9950,0
9975,-1
10000,0
10025,3
10050,3
10075,6
10100,8
10125,7
10150,11
10175,3
10200,6
10225,5
10250,0
10275,1
10300,3
10325,-2
10350,1
10375,-3
10400,4
10425,-3
10450,2
10475,6
10500,5
10525,8
10550,9
10575,6
10600,7
10625,-1
10650,4
10675,-2
10700,1
10725,-1
10750,-3
10775,2
10800,1
10825,4
10850,5
10875,6
10900,8
10925,8
10950,6
10975,6
11000,3
11025,5
11050,-2
11075,1
11100,3
11125,2
11150,1
11175,-2
11200,3
11225,2
11250,-1
11275,5
11300,5
11325,5
11350,5
11375,5
11400,6
11425,-1
11450,0
11475,0
11500,2
11525,3
11550,0
11575,3
11600,3
11625,-4
11650,6
11675,3
11700,4
11725,7
11750,4
11775,8
11800,1
11825,3
11850,5
11875,2
11900,1
11925,2
11950,3
11975,1
12000,-2
12025,-3
12050,3
12075,6
12100,7
12125,7
12150,1
12175,7
12200,2
12225,0
12250,0
12275,5
12300,-3
12325,-1
12350,1
12375,-1
12400,1
12425,1
12450,2
12475,5
12500,11
12525,9
12550,4
12575,11
12600,3
12625,3
12650,3
12675,-2
12700,-1
12725,4
12750,-2
12775,0
12800,-1
12825,1
12850,1
12875,0
12900,9
12925,4
12950,5
12975,9
13000,4
13025,7
13050,3
13075,5
13100,1
13125,-2
13150,-2
13175,-1
13200,1
13225,2
13250,0
13275,7
13300,7
13325,8
13350,5
13375,5
13400,7
13425,0
13450,-1
13475,5
13500,-1
13525,3
13550,-4
13575,-3
13600,2
13625,1
13650,2
13675,0
13700,7
13725,1
13750,2
13775,12
13800,4
13825,2
13850,1
13875,2
13900,3
13925,2
13950,-3
13975,-2
14000,-3
14025,3
14050,0
14075,5
14100,6
14125,0
14150,6
14175,6
14200,5
14225,4
14250,-1
14275,4
14300,-3
14325,-1
14350,-1
14375,-2
14400,4
14425,2
14450,0
14475,1
14500,6
14525,5
14550,5
14575,7
14600,3
14625,-1
14650,2
14675,-3
